Código,Nome,Descrição,Preço,Observação
1,Guioza,Pastéis de carne bovina e legumes fritos,15.90,8 unidades
2,Saint Peter,"Sashimi com molho especial, pimenta vermelha e cebola roxa","17,9",
3,Harumaki,Rolinho Primavera (Legumes ou Queijo Frito),"15,9",8 unidades
4,Shimeji,Cogumelo japonês refogado na manteiga,"17,9",
5,Missôshiro,Caldo oriental de soja com cebolinha e tofú,"4,5",
6,Salmão grelhado com legumes,3 fatias de Salmão com Legumes,"16,9",
7,Salmão Grelhado ,,"16,9",3 fatias
8,Sunomono,"Salada de Pepino, Cenoura e Gergelim","4,99",
9,Gari,Gengibre fatiado em conserva,"5,99",
10,Gohan,Arroz Japonês,"4,9",
11,Ceviche,"Salmão, peixe branco, atum, cebolinha, molho especial e pimenta","13,99",
12,Tempurá de legumes,Legumes diversos empanados e fritos,"7,5",
13,Minisashimi,12 fatias de peixe à sua escolha,"18,99",12 fatias
14,Sashimi Sushi Tina,19 fatias de peixe à sua escolha,"25,99",19 fatias
15,Sashimi de polvo,12 fatias de polvo à sua escolha,"28,9",12 fatias
16,Tekkamaki,Atum e arroz,"16,9",8 unidades
17,Kappamaki,Pepino e arroz,"12,9",8 unidades
18,Sakemaki,Salmão e arroz,"14,9",8 unidades
19,Kanimaki,Kani e arroz,"14,9",8 unidades
20,Salmão,"Salmão, Arroz, Gergelim. Com ou sem cream cheese","13,9",8 unidades
21,Salmão Skin,"Pele de salmão grelhado, Arroz, gergelim com ou sem cream cheese","13,99",8 unidades
22,Califórnia,"Manga, Pepino, Kani, Arroz, Gergelim. Com ou sem cream cheese","12,9",8 unidades
23,Acelgamaki,"Enrolado com acelga, Arroz, cream cheese e cebolinha","13,99",8 unidades
24,Philadélphia,"Enrolado com salmão grelhado, Arroz, cream cheese e gergelim","13,99",8 unidades
25,Salmão,,"19,9",8 unidades
26,Peixe branco,,"19,99",8 unidades
27,Skin Salmão,,"19,9",8 unidades
28,Polvo,,"23,99",8 unidades
29,Fritas,"Batata frita - com queijo acréscimo de R$2,00","17,9",
30,Camarão,Camarão empanado e frito,"34,9",
31,Lula à dore,Lula empanada e frita,"34,9",
32,Yakissoba de legumes,Macarrão oriental com legumes refogado ao molho,20,
33,Yakissoba de carne,Macarrão oriental com legumes e carne bovina,"22,9",
34,Yakissoba de frango,Macarrão oriental com legumes e frango,"22,9",
35,Yakissoba de camarão,Macarrão oriental com legumes e camarão miúdo,"28,9",
36,Frango Xadrez,"Frango em cubos com pimentão, amendoim e shoyu","26,9",
37,Teppanyaki de Filet Mignon,Filet mignon grelhado com legumes,"28,9",
38,Teppanyaki de Salmão,Salmão grelhado com legumes,"34,99",
39,Teppanyaki de frango,Frango grelhado com legumes,"26,99",
124,Petisco de peixe,Tiras de peixe empanado,"30,9",